0751,4,45,สาขาเดอะมอลล์ บางแค,A,MH,ISB
0785,4,45,สาขาเพชรเกษม อเวนิว บางแค,B,H,ISB
0868,4,45,สาขาบิ๊กซี เพชรเกษม 2 (พุทธมณฑล สาย 3),C,H,ISB
1193,4,45,สาขาเดอะพาซิโอ กาญจนาภิเษก,D,M,ISB
0619,4,46,สาขาบิ๊กซี พระรามที่สอง 2 (การเคหะธนบุรี 3),B,H,ISB
0660,4,46,สาขาบิ๊กซี บางบอน,B,H,ISB
0698,4,46,สาขาบิ๊กซี พระรามที่ 2 (ท่าข้าม),B,H,ISB
0743,4,46,สาขาเซ็นทรัล พระรามที่ 2,A,MH,ISB
0978,4,46,สาขาถนนเอกชัย-บางบอน,C,H,Normal
0388,4,47,สาขาบิ๊กซี สุขสวัสดิ์,B,MH,ISB
0636,4,47,สาขาบิ๊กซี บางปะกอก,C,H,ISB
0662,4,47,สาขาบิ๊กซี ประชาอุทิศ,B,MH,ISB
9999,99,99,Dummy,,,Normal
